x, y, z, r, g, b
-100, -100, 200, 10.0, 10.0, 20.0
-100, -99, 198, 10.0, 9.9, 19.8
-100, -98, 196, 10.0, 9.8, 19.6
-100, -97, 194, 10.0, 9.7, 19.4
-100, -96, 192, 10.0, 9.6, 19.2
-100, -95, 190, 10.0, 9.5, 19.0
-100, -94, 188, 10.0, 9.4, 18.8
-100, -93, 186, 10.0, 9.3, 18.6
-100, -92, 184, 10.0, 9.2, 18.4
-100, -91, 182, 10.0, 9.1, 18.2
-100, -90, 180, 10.0, 9.0, 18.0
-100, -89, 178, 10.0, 8.9, 17.8
-100, -88, 176, 10.0, 8.8, 17.6
-100, -87, 174, 10.0, 8.7, 17.4
-100, -86, 172, 10.0, 8.6, 17.2
-100, -85, 170, 10.0, 8.5, 17.0
-100, -84, 168, 10.0, 8.4, 16.8
-100, -83, 166, 10.0, 8.3, 16.6
-100, -82, 164, 10.0, 8.2, 16.4
-100, -81, 162, 10.0, 8.1, 16.2
-100, -80, 160, 10.0, 8.0, 16.0
-100, -79, 158, 10.0, 7.9, 15.8
-100, -78, 156, 10.0, 7.8, 15.6
-100, -77, 154, 10.0, 7.7, 15.4
-100, -76, 152, 10.0, 7.6, 15.2
-100, -75, 150, 10.0, 7.5, 15.0
-100, -74, 148, 10.0, 7.4, 14.8
-100, -73, 146, 10.0, 7.3, 14.6
-100, -72, 144, 10.0, 7.2, 14.4
-100, -71, 142, 10.0, 7.1, 14.2
-100, -70, 140, 10.0, 7.0, 14.0
-100, -69, 138, 10.0, 6.9, 13.8
-100, -68, 136, 10.0, 6.8, 13.6
-100, -67, 134, 10.0, 6.7, 13.4
-100, -66, 132, 10.0, 6.6, 13.2
-100, -65, 130, 10.0, 6.5, 13.0
-100, -64, 128, 10.0, 6.4, 12.8
-100, -63, 126, 10.0, 6.3, 12.6
-100, -62, 124, 10.0, 6.2, 12.4
-100, -61, 122, 10.0, 6.1, 12.2
-100, -60, 120, 10.0, 6.0, 12.0
-100, -59, 118, 10.0, 5.9, 11.8
-100, -58, 116, 10.0, 5.8, 11.6
-100, -57, 114, 10.0, 5.7, 11.4
-100, -56, 112, 10.0, 5.6, 11.2
-100, -55, 110, 10.0, 5.5, 11.0
-100, -54, 108, 10.0, 5.4, 10.8
-100, -53, 106, 10.0, 5.3, 10.6
-100, -52, 104, 10.0, 5.2, 10.4
-100, -51, 102, 10.0, 5.1, 10.2
-100, -50, 100, 10.0, 5.0, 10.0
-100, -49, 98, 10.0, 4.9, 9.8
-100, -48, 96, 10.0, 4.8, 9.6
-100, -47, 94, 10.0, 4.7, 9.4
-100, -46, 92, 10.0, 4.6, 9.2
-100, -45, 90, 10.0, 4.5, 9.0
-100, -44, 88, 10.0, 4.4, 8.8
-100, -43, 86, 10.0, 4.3, 8.6
-100, -42, 84, 10.0, 4.2, 8.4
-100, -41, 82, 10.0, 4.1, 8.2
-100, -40, 80, 10.0, 4.0, 8.0
-100, -39, 78, 10.0, 3.9, 7.8
-100, -38, 76, 10.0, 3.8, 7.6
-100, -37, 74, 10.0, 3.7, 7.4
-100, -36, 72, 10.0, 3.6, 7.2
-100, -35, 70, 10.0, 3.5, 7.0
-100, -34, 68, 10.0, 3.4, 6.8
-100, -33, 66, 10.0, 3.3, 6.6
-100, -32, 64, 10.0, 3.2, 6.4
-100, -31, 62, 10.0, 3.1, 6.2
-100, -30, 60, 10.0, 3.0, 6.0
-100, -29, 58, 10.0, 2.9, 5.8
-100, -28, 56, 10.0, 2.8, 5.6
-100, -27, 54, 10.0, 2.7, 5.4
-100, -26, 52, 10.0, 2.6, 5.2
-100, -25, 50, 10.0, 2.5, 5.0
-100, -24, 48, 10.0, 2.4, 4.8
-100, -23, 46, 10.0, 2.3, 4.6
-100, -22, 44, 10.0, 2.2, 4.4
-100, -21, 42, 10.0, 2.1, 4.2
-100, -20, 40, 10.0, 2.0, 4.0
-100, -19, 38, 10.0, 1.9, 3.8
-100, -18, 36, 10.0, 1.8, 3.6
-100, -17, 34, 10.0, 1.7, 3.4
-100, -16, 32, 10.0, 1.6, 3.2
-100, -15, 30, 10.0, 1.5, 3.0
-100, -14, 28, 10.0, 1.4, 2.8
-100, -13, 26, 10.0, 1.3, 2.6
-100, -12, 24, 10.0, 1.2, 2.4
-100, -11, 22, 10.0, 1.1, 2.2
-100, -10, 20, 10.0, 1.0, 2.0
-100, -9, 18, 10.0, 0.9, 1.8
-100, -8, 16, 10.0, 0.8, 1.6
-100, -7, 14, 10.0, 0.7, 1.4
-100, -6, 12, 10.0, 0.6, 1.2
-100, -5, 10, 10.0, 0.5, 1.0
-100, -4, 8, 10.0, 0.4, 0.8
-100, -3, 6, 10.0, 0.3, 0.6
-100, -2, 4, 10.0, 0.2, 0.4
-100, -1, 2, 10.0, 0.1, 0.2
-100, 0, 0, 10.0, 0.0, 0.0
-100, 1, -2, 10.0, 0.1, 0.2
-100, 2, -4, 10.0, 0.2, 0.4
-100, 3, -6, 10.0, 0.3, 0.6
-100, 4, -8, 10.0, 0.4, 0.8
-100, 5, -10, 10.0, 0.5, 1.0
-100, 6, -12, 10.0, 0.6, 1.2
-100, 7, -14, 10.0, 0.7, 1.4
-100, 8, -16, 10.0, 0.8, 1.6
-100, 9, -18, 10.0, 0.9, 1.8
-100, 10, -20, 10.0, 1.0, 2.0
-100, 11, -22, 10.0, 1.1, 2.2
-100, 12, -24, 10.0, 1.2, 2.4
-100, 13, -26, 10.0, 1.3, 2.6
-100, 14, -28, 10.0, 1.4, 2.8
-100, 15, -30, 10.0, 1.5, 3.0
-100, 16, -32, 10.0, 1.6, 3.2
-100, 17, -34, 10.0, 1.7, 3.4
-100, 18, -36, 10.0, 1.8, 3.6
-100, 19, -38, 10.0, 1.9, 3.8
-100, 20, -40, 10.0, 2.0, 4.0
-100, 21, -42, 10.0, 2.1, 4.2
-100, 22, -44, 10.0, 2.2, 4.4
-100, 23, -46, 10.0, 2.3, 4.6
-100, 24, -48, 10.0, 2.4, 4.8
-100, 25, -50, 10.0, 2.5, 5.0
-100, 26, -52, 10.0, 2.6, 5.2
-100, 27, -54, 10.0, 2.7, 5.4
-100, 28, -56, 10.0, 2.8, 5.6
-100, 29, -58, 10.0, 2.9, 5.8
-100, 30, -60, 10.0, 3.0, 6.0
-100, 31, -62, 10.0, 3.1, 6.2
-100, 32, -64, 10.0, 3.2, 6.4
-100, 33, -66, 10.0, 3.3, 6.6
-100, 34, -68, 10.0, 3.4, 6.8
-100, 35, -70, 10.0, 3.5, 7.0
-100, 36, -72, 10.0, 3.6, 7.2
-100, 37, -74, 10.0, 3.7, 7.4
-100, 38, -76, 10.0, 3.8, 7.6
-100, 39, -78, 10.0, 3.9, 7.8
-100, 40, -80, 10.0, 4.0, 8.0
-100, 41, -82, 10.0, 4.1, 8.2
-100, 42, -84, 10.0, 4.2, 8.4
-100, 43, -86, 10.0, 4.3, 8.6
-100, 44, -88, 10.0, 4.4, 8.8
-100, 45, -90, 10.0, 4.5, 9.0
-100, 46, -92, 10.0, 4.6, 9.2
-100, 47, -94, 10.0, 4.7, 9.4
-100, 48, -96, 10.0, 4.8, 9.6
-100, 49, -98, 10.0, 4.9, 9.8
-100, 50, -100, 10.0, 5.0, 10.0
-100, 51, -102, 10.0, 5.1, 10.2
-100, 52, -104, 10.0, 5.2, 10.4
-100, 53, -106, 10.0, 5.3, 10.6
-100, 54, -108, 10.0, 5.4, 10.8
-100, 55, -110, 10.0, 5.5, 11.0
-100, 56, -112, 10.0, 5.6, 11.2
-100, 57, -114, 10.0, 5.7, 11.4
-100, 58, -116, 10.0, 5.8, 11.6
-100, 59, -118, 10.0, 5.9, 11.8
-100, 60, -120, 10.0, 6.0, 12.0
-100, 61, -122, 10.0, 6.1, 12.2
-100, 62, -124, 10.0, 6.2, 12.4
-100, 63, -126, 10.0, 6.3, 12.6
-100, 64, -128, 10.0, 6.4, 12.8
-100, 65, -130, 10.0, 6.5, 13.0
-100, 66, -132, 10.0, 6.6, 13.2
-100, 67, -134, 10.0, 6.7, 13.4
-100, 68, -136, 10.0, 6.8, 13.6
-100, 69, -138, 10.0, 6.9, 13.8
-100, 70, -140, 10.0, 7.0, 14.0
-100, 71, -142, 10.0, 7.1, 14.2
-100, 72, -144, 10.0, 7.2, 14.4
-100, 73, -146, 10.0, 7.3, 14.6
-100, 74, -148, 10.0, 7.4, 14.8
-100, 75, -150, 10.0, 7.5, 15.0
-100, 76, -152, 10.0, 7.6, 15.2
-100, 77, -154, 10.0, 7.7, 15.4
-100, 78, -156, 10.0, 7.8, 15.6
-100, 79, -158, 10.0, 7.9, 15.8
-100, 80, -160, 10.0, 8.0, 16.0
-100, 81, -162, 10.0, 8.1, 16.2
-100, 82, -164, 10.0, 8.2, 16.4
-100, 83, -166, 10.0, 8.3, 16.6
-100, 84, -168, 10.0, 8.4, 16.8
-100, 85, -170, 10.0, 8.5, 17.0
-100, 86, -172, 10.0, 8.6, 17.2
-100, 87, -174, 10.0, 8.7, 17.4
-100, 88, -176, 10.0, 8.8, 17.6
-100, 89, -178, 10.0, 8.9, 17.8
-100, 90, -180, 10.0, 9.0, 18.0
-100, 91, -182, 10.0, 9.1, 18.2
-100, 92, -184, 10.0, 9.2, 18.4
-100, 93, -186, 10.0, 9.3, 18.6
-100, 94, -188, 10.0, 9.4, 18.8
-100, 95, -190, 10.0, 9.5, 19.0
-100, 96, -192, 10.0, 9.6, 19.2
-100, 97, -194, 10.0, 9.7, 19.4
-100, 98, -196, 10.0, 9.8, 19.6
-100, 99, -198, 10.0, 9.9, 19.8
-100, 100, -200, 10.0, 10.0, 20.0
-99, -100, 198, 9.9, 10.0, 19.8
-99, -99, 198, 9.9, 9.9, 19.8
-99, -98, 196, 9.9, 9.8, 19.6
-99, -97, 194, 9.9, 9.7, 19.4
-99, -96, 192, 9.9, 9.6, 19.2
-99, -95, 190, 9.9, 9.5, 19.0
-99, -94, 188, 9.9, 9.4, 18.8
-99, -93, 186, 9.9, 9.3, 18.6
-99, -92, 184, 9.9, 9.2, 18.4
-99, -91, 182, 9.9, 9.1, 18.2
-99, -90, 180, 9.9, 9.0, 18.0
-99, -89, 178, 9.9, 8.9, 17.8
-99, -88, 176, 9.9, 8.8, 17.6
-99, -87, 174, 9.9, 8.7, 17.4
-99, -86, 172, 9.9, 8.6, 17.2
-99, -85, 170, 9.9, 8.5, 17.0
-99, -84, 168, 9.9, 8.4, 16.8
-99, -83, 166, 9.9, 8.3, 16.6
-99, -82, 164, 9.9, 8.2, 16.4
-99, -81, 162, 9.9, 8.1, 16.2
-99, -80, 160, 9.9, 8.0, 16.0
-99, -79, 158, 9.9, 7.9, 15.8
-99, -78, 156, 9.9, 7.8, 15.6
-99, -77, 154, 9.9, 7.7, 15.4
-99, -76, 152, 9.9, 7.6, 15.2
-99, -75, 150, 9.9, 7.5, 15.0
-99, -74, 148, 9.9, 7.4, 14.8
-99, -73, 146, 9.9, 7.3, 14.6
-99, -72, 144, 9.9, 7.2, 14.4
-99, -71, 142, 9.9, 7.1, 14.2
-99, -70, 140, 9.9, 7.0, 14.0
-99, -69, 138, 9.9, 6.9, 13.8
-99, -68, 136, 9.9, 6.8, 13.6
-99, -67, 134, 9.9, 6.7, 13.4
-99, -66, 132, 9.9, 6.6, 13.2
-99, -65, 130, 9.9, 6.5, 13.0
-99, -64, 128, 9.9, 6.4, 12.8
-99, -63, 126, 9.9, 6.3, 12.6
-99, -62, 124, 9.9, 6.2, 12.4
-99, -61, 122, 9.9, 6.1, 12.2
-99, -60, 120, 9.9, 6.0, 12.0
-99, -59, 118, 9.9, 5.9, 11.8
-99, -58, 116, 9.9, 5.8, 11.6
-99, -57, 114, 9.9, 5.7, 11.4
-99, -56, 112, 9.9, 5.6, 11.2
-99, -55, 110, 9.9, 5.5, 11.0
-99, -54, 108, 9.9, 5.4, 10.8
-99, -53, 106, 9.9, 5.3, 10.6
-99, -52, 104, 9.9, 5.2, 10.4
-99, -51, 102, 9.9, 5.1, 10.2
-99, -50, 100, 9.9, 5.0, 10.0
-99, -49, 98, 9.9, 4.9, 9.8
-99, -48, 96, 9.9, 4.8, 9.6
-99, -47, 94, 9.9, 4.7, 9.4
-99, -46, 92, 9.9, 4.6, 9.2
-99, -45, 90, 9.9, 4.5, 9.0
-99, -44, 88, 9.9, 4.4, 8.8
-99, -43, 86, 9.9, 4.3, 8.6
-99, -42, 84, 9.9, 4.2, 8.4
-99, -41, 82, 9.9, 4.1, 8.2
-99, -40, 80, 9.9, 4.0, 8.0
-99, -39, 78, 9.9, 3.9, 7.8
-99, -38, 76, 9.9, 3.8, 7.6
-99, -37, 74, 9.9, 3.7, 7.4
-99, -36, 72, 9.9, 3.6, 7.2
-99, -35, 70, 9.9, 3.5, 7.0
-99, -34, 68, 9.9, 3.4, 6.8
-99, -33, 66, 9.9, 3.3, 6.6
-99, -32, 64, 9.9, 3.2, 6.4
-99, -31, 62, 9.9, 3.1, 6.2
